time_pass, time
time_pass_1,1226.625919
time_pass_2,597.805023
time_pass_3,110478.189945
time_pass_4,4958.815098
time_pass_5,7874.654770
time_pass_6,325.894117
time_pass_7,252810.602188
time_pass_8,11878.720999
time_pass_9,7524.466038
time_pass_10,25940.879822
time_pass_11,16821.816921
time_pass_12,3421.805143
total_time,574356.544971
