time_pass, time
time_pass_1,2007.174015
time_pass_2,10739.785910
time_pass_3,123.532057
time_pass_4,391.520023
time_pass_5,1610.716820
time_pass_6,1031.872034
time_pass_7,746.050835
time_pass_8,1227.871895
time_pass_9,2507.433176
time_pass_10,349.817991
time_pass_11,711.252213
time_pass_12,356.963873
total_time,145607.975006
